key_index,text,overall
6071,Dustin Johnson cashing it in on the 1st hole. That didn't take long.,2
12667,Some of yall should stay away from the Gucci foams tomorrow.,2
13943,"Like Ice Cube says ""if you a scared nigga then go to church"" so das where I'm gon be tomorrow",2
6192,Look for Carly Fiorina to take Donald Trump on - she may win - we shall see.,3
7346,"20+ years ago tonight, I was on the last bus after Nirvana's 1st Dublin gig. Here's a radio essay about it, 9.09 in https://t.co/oolGxMsX6V",2
8905,"the Undertaker rises from a coffin to attack Brock Lesnar: Raw, March 24, 2014 https://t.co/8Yg2zn8S90 via @YouTube",2
7099,I hope Zayn isn't hanging out with May because she's been trying to start shit with his life for years.,1
7189,Is it ironic that Caitlyn Jenner may be charged with manslaughter? Or is that just a pun,2
2437,Nobody wants to hear about that jerk anymore. Or Ryan Braun. Or any other cheating roid rage  jerk https://t.co/uqpwIjPTrL,1
15319,Here is your Tuesday class line up: Gentle Yoga with Elle at 9:30am Little Trees Yoga with Kathleen at 5:00pm... http://t.co/2UM4rRxRny,2
9017,These PAUL McCartney tix are burning a hole in my pocket. Want em? Call 313-298-1043 after the 2nd Paul/Beatles song. It WILL happen.,2
11328,Until Dawn worth the buy? Going to pick up my PS4 tomorrow,2
17367,Chris Evans as Captain America stands tall against the Age of Ultron! In theaters May 1. https://t.co/ajvhiLpvj3,3
4922,"Bagel day at work tomorrow, means I don't have to spend my own money at Dunkin",3
3372,"I want the kids tomorrow to know that the ""world's greatest boxer,"" Floyd Mayweather, Jr., ran and won.",3
18818,But tomorrow is my day off so I'll be alright (Kendrick voice),3
5059,"Ice Cube's character (played by his son) is wearing a 15,000 jerry curl wig in the movie which premiers this Fri.... http://t.co/NIL4QfdPG0",2
18507,Serie A: Juve win 6th straight; Milan booed: Reigning champions Juventus burst back into the Serie A title rac... https://t.co/bDQ4wpldF0,2
3252,Justin Grimm strikes out Ryan Braun swinging to end the 8th with the score #Cubs 4 Brewers 1,2
19523,so louis is with danielle while briana is in her 8th trimester? right,2
10362,Ryan Braun gives the #Brewers an early lead with a solo HR to left in the 1st.  1-0 #Crew over the Reds,2
3745,"So Chris Christie, Rick Perry, and John Kasich are fighting for their lives to make the GOP debate on Thursday. Who will miss out?",2
634,"Hats off to Paul Dunne there, played some great Golf today, deserves to be in the final grouping tomorrow. #TheOpen2015",3
10406,It's not really a Sunday until you've listened to some frank ocean,3
1180,"@PG_F1 Quest for Fire - Iron Maiden, because we've lost the sun and we must find it soon.",2
14555,Just a reminder No Brewery Yoga this Saturday September 12th. Still come and celebrate with Aardwolf Brewery for... http://t.co/096Q8eECC0,3
16479,@Frandumode IRA parade walked past my flat last Sunday with hunger striker &amp; internment banners. Clear enough? @Independent,1
18425,@TheInterFan @Moha_Milan98 hes just jealous hahaha coz milan sucks..after 90mil investment still fighting for 8th placers hahaha,1
6200,Oh no not Zac Brown Band with my bestie @jmades30 #WeHateFun #Sunday #NeedStructure,3
7315,15 feminine stars who may make a just right boyfriend | Oh! Kpop stars celebrity news and gossip! http://t.co/9uA12lN3R6,2
